Call Number,Unit ID,Incident Number,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
160014033,E43,16000555,01/01/2016,01/01/2016,01/01/2016 11:50:23 PM,01/01/2016 11:54:15 PM,01/01/2016 11:54:45 PM,01/01/2016 11:56:23 PM,01/01/2016 11:58:21 PM,NA,NA,Code 2 Transport,01/02/2016 12:07:56 AM,5000 Block of MISSION ST,San Francisco,94112,B09,43,6175,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,11,Outer Mission,"(37.7174988976749, -122.440357992837)",160014033-E43
160014033,85,16000555,01/01/2016,01/01/2016,01/01/2016 11:50:23 PM,01/01/2016 11:54:15 PM,01/01/2016 11:54:45 PM,01/01/2016 11:54:57 PM,01/01/2016 11:59:41 PM,01/02/2016 12:20:23 AM,01/02/2016 12:31:53 AM,Code 2 Transport,01/02/2016 01:04:10 AM,5000 Block of MISSION ST,San Francisco,94112,B09,43,6175,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,11,Outer Mission,"(37.7174988976749, -122.440357992837)",160014033-85
160014027,E17,16000554,01/01/2016,01/01/2016,01/01/2016 11:48:57 PM,01/01/2016 11:51:13 PM,01/01/2016 11:52:03 PM,01/01/2016 11:53:40 PM,01/01/2016 11:57:00 PM,NA,NA,Code 2 Transport,01/02/2016 12:04:50 AM,0 Block of GARNETT TER,San Francisco,94124,B10,17,6624,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7327997583863, -122.381958643275)",160014027-E17
160014027,62,16000554,01/01/2016,01/01/2016,01/01/2016 11:48:57 PM,01/01/2016 11:51:13 PM,01/01/2016 11:52:03 PM,01/01/2016 11:52:14 PM,01/01/2016 11:58:54 PM,01/02/2016 12:16:48 AM,01/02/2016 12:27:22 AM,Code 2 Transport,01/02/2016 01:17:15 AM,0 Block of GARNETT TER,San Francisco,94124,B10,17,6624,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.7327997583863, -122.381958643275)",160014027-62
160014024,E23,16000553,01/01/2016,01/01/2016,01/01/2016 11:49:32 PM,01/01/2016 11:50:55 PM,01/01/2016 11:51:22 PM,01/01/2016 11:52:58 PM,01/01/2016 11:54:37 PM,NA,NA,Fire,01/01/2016 11:58:09 PM,JUDAH ST/GREAT HY,San Francisco,94122,B08,23,7723,3,3,3,false,Fire,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7602716873667, -122.509381620507)",160014024-E23
160014001,79,16000552,01/01/2016,01/01/2016,01/01/2016 11:40:24 PM,01/01/2016 11:42:04 PM,01/01/2016 11:42:28 PM,01/01/2016 11:42:35 PM,01/01/2016 11:51:54 PM,NA,NA,Unable to Locate,01/01/2016 11:54:34 PM,16TH ST/VALENCIA ST,San Francisco,94103,B02,06,5235,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,8,Mission,"(37.7649173790256, -122.421886447232)",160014001-79
160013993,60,16000551,01/01/2016,01/01/2016,01/01/2016 11:37:32 PM,01/01/2016 11:38:18 PM,01/01/2016 11:41:02 PM,01/01/2016 11:41:10 PM,01/01/2016 11:48:42 PM,NA,NA,Cancelled,01/01/2016 11:49:14 PM,100 Block of UTAH ST,San Francisco,94103,B02,29,2351,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,10,Mission,"(37.7677826861899, -122.406668803339)",160013993-60
160013992,T01,16000550,01/01/2016,01/01/2016,01/01/2016 11:36:46 PM,01/01/2016 11:38:13 PM,01/01/2016 11:39:35 PM,NA,NA,NA,NA,Code 2 Transport,01/01/2016 11:41:46 PM,1100 Block of MARKET ST,San Francisco,94102,B02,01,1551,2,2,2,false,Potentially Life-Threatening,1,TRUCK,3,2,6,Tenderloin,"(37.7796660426062, -122.41371122073)",160013992-T01
160013992,E29,16000550,01/01/2016,01/01/2016,01/01/2016 11:36:46 PM,01/01/2016 11:38:13 PM,01/01/2016 11:39:35 PM,NA,NA,NA,NA,Code 2 Transport,01/01/2016 11:40:54 PM,1100 Block of MARKET ST,San Francisco,94102,B02,01,1551,2,2,2,true,Potentially Life-Threatening,1,ENGINE,4,2,6,Tenderloin,"(37.7796660426062, -122.41371122073)",160013992-E29
160013992,E01,16000550,01/01/2016,01/01/2016,01/01/2016 11:36:46 PM,01/01/2016 11:38:13 PM,01/01/2016 11:40:39 PM,01/01/2016 11:40:39 PM,01/01/2016 11:42:35 PM,NA,NA,Code 2 Transport,01/01/2016 11:49:19 PM,1100 Block of MARKET ST,San Francisco,94102,B02,01,1551,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,"(37.7796660426062, -122.41371122073)",160013992-E01
